INFO:root:Reloaded SentencePiece model from tokenizer.model
INFO:root:#words: 32000 - BOS ID: 1 - EOS ID: 2
INFO:root:Reloaded SentencePiece model from tokenizer.model
INFO:root:#words: 32000 - BOS ID: 1 - EOS ID: 2
INFO:root:Reloaded SentencePiece model from tokenizer.model
INFO:root:#words: 32000 - BOS ID: 1 - EOS ID: 2
INFO:root:Reloaded SentencePiece model from tokenizer.model
INFO:root:#words: 32000 - BOS ID: 1 - EOS ID: 2
DEBUG:root:Layer: embedding.weight, Weight before backpropMean: 4.4523872929858044e-05, Weight Std: 1.0000399351119995, Weight Norm: 4957.61669921875
DEBUG:root:Layer: layers.0.norm2.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.1.attention.query.weight, Weight before backpropMean: -3.696443309308961e-05, Weight Std: 0.036093082278966904, Weight Norm: 27.7194766998291
DEBUG:root:Layer: layers.1.attention.query.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.1.attention.key.weight, Weight before backpropMean: 1.338402580586262e-05, Weight Std: 0.036081790924072266, Weight Norm: 27.710796356201172
DEBUG:root:Layer: layers.1.attention.key.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.1.attention.value.weight, Weight before backpropMean: 6.216135807335377e-05, Weight Std: 0.036074500530958176, Weight Norm: 27.705236434936523
DEBUG:root:Layer: layers.1.attention.value.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.1.attention.out.weight, Weight before backpropMean: -6.153359572635964e-05, Weight Std: 0.03607942909002304, Weight Norm: 27.709016799926758
DEBUG:root:Layer: layers.1.attention.out.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.1.ffn.linear1.weight, Weight before backpropMean: 1.431053169653751e-05, Weight Std: 0.02281721867620945, Weight Norm: 35.04724884033203
DEBUG:root:Layer: layers.1.ffn.linear1.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.1.ffn.linear2.weight, Weight before backpropMean: -3.3512478694319725e-06, Weight Std: 0.022814972326159477, Weight Norm: 35.04378890991211
DEBUG:root:Layer: layers.1.ffn.linear2.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.1.norm1.weight, Weight before backpropMean: 1.0, Weight Std: 0.0, Weight Norm: 27.712812423706055
DEBUG:root:Layer: layers.1.norm1.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.1.norm2.weight, Weight before backpropMean: 1.0, Weight Std: 0.0, Weight Norm: 27.712812423706055
DEBUG:root:Layer: layers.1.norm2.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.2.attention.query.weight, Weight before backpropMean: -2.956164098577574e-05, Weight Std: 0.0360543429851532, Weight Norm: 27.689720153808594
DEBUG:root:Layer: layers.2.attention.query.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.2.attention.key.weight, Weight before backpropMean: 4.323810571804643e-06, Weight Std: 0.03610765561461449, Weight Norm: 27.73065757751465
DEBUG:root:Layer: layers.2.attention.key.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.2.attention.value.weight, Weight before backpropMean: 3.418563210288994e-05, Weight Std: 0.03608174994587898, Weight Norm: 27.710773468017578
DEBUG:root:Layer: layers.2.attention.value.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.2.attention.out.weight, Weight before backpropMean: -2.3929085728013888e-05, Weight Std: 0.036026038229465485, Weight Norm: 27.66798210144043
DEBUG:root:Layer: layers.2.attention.out.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.2.ffn.linear1.weight, Weight before backpropMean: -1.053497544489801e-05, Weight Std: 0.022835630923509598, Weight Norm: 35.07552719116211
DEBUG:root:Layer: layers.2.ffn.linear1.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.2.ffn.linear2.weight, Weight before backpropMean: 2.4216149085987126e-06, Weight Std: 0.02281624637544155, Weight Norm: 35.045745849609375
DEBUG:root:Layer: layers.2.ffn.linear2.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.2.norm1.weight, Weight before backpropMean: 1.0, Weight Std: 0.0, Weight Norm: 27.712812423706055
DEBUG:root:Layer: layers.2.norm1.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.2.norm2.weight, Weight before backpropMean: 1.0, Weight Std: 0.0, Weight Norm: 27.712812423706055
DEBUG:root:Layer: layers.2.norm2.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.3.attention.query.weight, Weight before backpropMean: -4.473502940527396e-06, Weight Std: 0.03614491969347, Weight Norm: 27.759273529052734
DEBUG:root:Layer: layers.3.attention.query.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.3.attention.key.weight, Weight before backpropMean: -7.135635678423569e-05, Weight Std: 0.03610331192612648, Weight Norm: 27.727373123168945
DEBUG:root:Layer: layers.3.attention.key.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.3.attention.value.weight, Weight before backpropMean: 7.009960245341063e-05, Weight Std: 0.036112744361162186, Weight Norm: 27.734617233276367
DEBUG:root:Layer: layers.3.attention.value.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.3.attention.out.weight, Weight before backpropMean: -7.064016926960903e-07, Weight Std: 0.03610057756304741, Weight Norm: 27.725221633911133
DEBUG:root:Layer: layers.3.attention.out.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.3.ffn.linear1.weight, Weight before backpropMean: 3.4337547276663827e-06, Weight Std: 0.022809501737356186, Weight Norm: 35.03538513183594
DEBUG:root:Layer: layers.3.ffn.linear1.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.3.ffn.linear2.weight, Weight before backpropMean: 6.980613761697896e-06, Weight Std: 0.022818122059106827, Weight Norm: 35.04862976074219
DEBUG:root:Layer: layers.3.ffn.linear2.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.3.norm1.weight, Weight before backpropMean: 1.0, Weight Std: 0.0, Weight Norm: 27.712812423706055
DEBUG:root:Layer: layers.3.norm1.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.3.norm2.weight, Weight before backpropMean: 1.0, Weight Std: 0.0, Weight Norm: 27.712812423706055
DEBUG:root:Layer: layers.3.norm2.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.4.attention.query.weight, Weight before backpropMean: -7.734398968750611e-05, Weight Std: 0.03607572987675667, Weight Norm: 27.706199645996094
DEBUG:root:Layer: layers.4.attention.query.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.4.attention.key.weight, Weight before backpropMean: -1.8257420379086398e-05, Weight Std: 0.03611382097005844, Weight Norm: 27.735397338867188
DEBUG:root:Layer: layers.4.attention.key.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.4.attention.value.weight, Weight before backpropMean: 3.5984514397569e-05, Weight Std: 0.036104895174503326, Weight Norm: 27.728546142578125
DEBUG:root:Layer: layers.4.attention.value.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.4.attention.out.weight, Weight before backpropMean: -5.135607807460474e-06, Weight Std: 0.0361078679561615, Weight Norm: 27.730819702148438
DEBUG:root:Layer: layers.4.attention.out.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.4.ffn.linear1.weight, Weight before backpropMean: -1.094704020943027e-05, Weight Std: 0.022814467549324036, Weight Norm: 35.04301834106445
DEBUG:root:Layer: layers.4.ffn.linear1.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.4.ffn.linear2.weight, Weight before backpropMean: 3.7562094803433865e-05, Weight Std: 0.022821810096502304, Weight Norm: 35.05433654785156
DEBUG:root:Layer: layers.4.ffn.linear2.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.4.norm1.weight, Weight before backpropMean: 1.0, Weight Std: 0.0, Weight Norm: 27.712812423706055
DEBUG:root:Layer: layers.4.norm1.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.4.norm2.weight, Weight before backpropMean: 1.0, Weight Std: 0.0, Weight Norm: 27.712812423706055
DEBUG:root:Layer: layers.4.norm2.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.5.attention.query.weight, Weight before backpropMean: -4.757994702231372e-06, Weight Std: 0.036154359579086304, Weight Norm: 27.766523361206055
DEBUG:root:Layer: layers.5.attention.query.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.5.attention.key.weight, Weight before backpropMean: 3.194170494680293e-05, Weight Std: 0.036071017384529114, Weight Norm: 27.70252799987793
DEBUG:root:Layer: layers.5.attention.key.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.5.attention.value.weight, Weight before backpropMean: 3.550608380464837e-05, Weight Std: 0.03611293435096741, Weight Norm: 27.734724044799805
DEBUG:root:Layer: layers.5.attention.value.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.5.attention.out.weight, Weight before backpropMean: 5.117896944284439e-05, Weight Std: 0.03612001985311508, Weight Norm: 27.74017906188965
DEBUG:root:Layer: layers.5.attention.out.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.5.ffn.linear1.weight, Weight before backpropMean: -1.3661913726537023e-05, Weight Std: 0.022822072729468346, Weight Norm: 35.05470275878906
DEBUG:root:Layer: layers.5.ffn.linear1.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.5.ffn.linear2.weight, Weight before backpropMean: 1.3045368177699856e-05, Weight Std: 0.02282271906733513, Weight Norm: 35.055694580078125
DEBUG:root:Layer: layers.5.ffn.linear2.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.5.norm1.weight, Weight before backpropMean: 1.0, Weight Std: 0.0, Weight Norm: 27.712812423706055
DEBUG:root:Layer: layers.5.norm1.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.5.norm2.weight, Weight before backpropMean: 1.0, Weight Std: 0.0, Weight Norm: 27.712812423706055
DEBUG:root:Layer: layers.5.norm2.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.6.attention.query.weight, Weight before backpropMean: -7.332392215175787e-06, Weight Std: 0.036067571491003036, Weight Norm: 27.699872970581055
DEBUG:root:Layer: layers.6.attention.query.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.6.attention.key.weight, Weight before backpropMean: 8.091149356914684e-05, Weight Std: 0.03606235980987549, Weight Norm: 27.695938110351562
DEBUG:root:Layer: layers.6.attention.key.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.6.attention.value.weight, Weight before backpropMean: 1.827494997996837e-06, Weight Std: 0.03611113876104355, Weight Norm: 27.73333168029785
DEBUG:root:Layer: layers.6.attention.value.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.6.attention.out.weight, Weight before backpropMean: -4.030189666082151e-05, Weight Std: 0.03609301149845123, Weight Norm: 27.719425201416016
DEBUG:root:Layer: layers.6.attention.out.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.6.ffn.linear1.weight, Weight before backpropMean: -6.361694431689102e-06, Weight Std: 0.022815076634287834, Weight Norm: 35.04395294189453
DEBUG:root:Layer: layers.6.ffn.linear1.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.6.ffn.linear2.weight, Weight before backpropMean: 1.059734040609328e-05, Weight Std: 0.022831706330180168, Weight Norm: 35.06949996948242
DEBUG:root:Layer: layers.6.ffn.linear2.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.6.norm1.weight, Weight before backpropMean: 1.0, Weight Std: 0.0, Weight Norm: 27.712812423706055
DEBUG:root:Layer: layers.6.norm1.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.6.norm2.weight, Weight before backpropMean: 1.0, Weight Std: 0.0, Weight Norm: 27.712812423706055
DEBUG:root:Layer: layers.6.norm2.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.7.attention.query.weight, Weight before backpropMean: 4.8661237087799236e-05, Weight Std: 0.036105282604694366, Weight Norm: 27.728857040405273
DEBUG:root:Layer: layers.7.attention.query.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.7.attention.key.weight, Weight before backpropMean: -2.145518237739452e-06, Weight Std: 0.03607949987053871, Weight Norm: 27.709033966064453
DEBUG:root:Layer: layers.7.attention.key.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.7.attention.value.weight, Weight before backpropMean: 2.3254542611539364e-06, Weight Std: 0.03617921471595764, Weight Norm: 27.785615921020508
DEBUG:root:Layer: layers.7.attention.value.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.7.attention.out.weight, Weight before backpropMean: -7.800987805239856e-05, Weight Std: 0.036126792430877686, Weight Norm: 27.745418548583984
DEBUG:root:Layer: layers.7.attention.out.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.7.ffn.linear1.weight, Weight before backpropMean: -2.490795486664865e-05, Weight Std: 0.022824574261903763, Weight Norm: 35.05855941772461
DEBUG:root:Layer: layers.7.ffn.linear1.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.7.ffn.linear2.weight, Weight before backpropMean: 6.06343064646353e-06, Weight Std: 0.02282828837633133, Weight Norm: 35.064239501953125
DEBUG:root:Layer: layers.7.ffn.linear2.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.7.norm1.weight, Weight before backpropMean: 1.0, Weight Std: 0.0, Weight Norm: 27.712812423706055
DEBUG:root:Layer: layers.7.norm1.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.7.norm2.weight, Weight before backpropMean: 1.0, Weight Std: 0.0, Weight Norm: 27.712812423706055
DEBUG:root:Layer: layers.7.norm2.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.8.attention.query.weight, Weight before backpropMean: -6.257669883780181e-05, Weight Std: 0.03606994077563286, Weight Norm: 27.70173454284668
DEBUG:root:Layer: layers.8.attention.query.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.8.attention.key.weight, Weight before backpropMean: 8.771733206458521e-08, Weight Std: 0.03606988489627838, Weight Norm: 27.70164680480957
DEBUG:root:Layer: layers.8.attention.key.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.8.attention.value.weight, Weight before backpropMean: -6.0820698308816645e-06, Weight Std: 0.03614586219191551, Weight Norm: 27.75999641418457
DEBUG:root:Layer: layers.8.attention.value.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.8.attention.out.weight, Weight before backpropMean: 5.337092079571448e-05, Weight Std: 0.03612495958805084, Weight Norm: 27.743974685668945
DEBUG:root:Layer: layers.8.attention.out.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.8.ffn.linear1.weight, Weight before backpropMean: 4.680996426031925e-06, Weight Std: 0.022819489240646362, Weight Norm: 35.05073165893555
DEBUG:root:Layer: layers.8.ffn.linear1.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.8.ffn.linear2.weight, Weight before backpropMean: -2.3496253561461344e-05, Weight Std: 0.022826367989182472, Weight Norm: 35.06131362915039
DEBUG:root:Layer: layers.8.ffn.linear2.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.8.norm1.weight, Weight before backpropMean: 1.0, Weight Std: 0.0, Weight Norm: 27.712812423706055
DEBUG:root:Layer: layers.8.norm1.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.8.norm2.weight, Weight before backpropMean: 1.0, Weight Std: 0.0, Weight Norm: 27.712812423706055
DEBUG:root:Layer: layers.8.norm2.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.9.attention.query.weight, Weight before backpropMean: -7.396296132355928e-05, Weight Std: 0.036103781312704086, Weight Norm: 27.727739334106445
DEBUG:root:Layer: layers.9.attention.query.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.9.attention.key.weight, Weight before backpropMean: 9.385394514538348e-05, Weight Std: 0.03604843467473984, Weight Norm: 27.68526840209961
DEBUG:root:Layer: layers.9.attention.key.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.9.attention.value.weight, Weight before backpropMean: -6.283618131419644e-05, Weight Std: 0.036027099937200546, Weight Norm: 27.66883087158203
DEBUG:root:Layer: layers.9.attention.value.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.9.attention.out.weight, Weight before backpropMean: -1.0653760909917764e-05, Weight Std: 0.036068689078092575, Weight Norm: 27.700729370117188
DEBUG:root:Layer: layers.9.attention.out.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.9.ffn.linear1.weight, Weight before backpropMean: -3.764378561754711e-05, Weight Std: 0.02283371239900589, Weight Norm: 35.07262420654297
DEBUG:root:Layer: layers.9.ffn.linear1.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.9.ffn.linear2.weight, Weight before backpropMean: -6.092390776757384e-06, Weight Std: 0.022814931347966194, Weight Norm: 35.04372787475586
DEBUG:root:Layer: layers.9.ffn.linear2.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.9.norm1.weight, Weight before backpropMean: 1.0, Weight Std: 0.0, Weight Norm: 27.712812423706055
DEBUG:root:Layer: layers.9.norm1.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.9.norm2.weight, Weight before backpropMean: 1.0, Weight Std: 0.0, Weight Norm: 27.712812423706055
DEBUG:root:Layer: layers.9.norm2.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.10.attention.query.weight, Weight before backpropMean: 1.793719275156036e-05, Weight Std: 0.036094289273023605, Weight Norm: 27.720394134521484
DEBUG:root:Layer: layers.10.attention.query.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.10.attention.key.weight, Weight before backpropMean: -2.7589458113652654e-05, Weight Std: 0.03604821860790253, Weight Norm: 27.685014724731445
DEBUG:root:Layer: layers.10.attention.key.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.10.attention.value.weight, Weight before backpropMean: 1.1636141607596073e-05, Weight Std: 0.03607230260968208, Weight Norm: 27.703506469726562
DEBUG:root:Layer: layers.10.attention.value.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.10.attention.out.weight, Weight before backpropMean: -4.3531505070859566e-05, Weight Std: 0.03611588105559349, Weight Norm: 27.73699378967285
DEBUG:root:Layer: layers.10.attention.out.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.10.ffn.linear1.weight, Weight before backpropMean: -7.685196578677278e-06, Weight Std: 0.02281123772263527, Weight Norm: 35.038055419921875
DEBUG:root:Layer: layers.10.ffn.linear1.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.10.ffn.linear2.weight, Weight before backpropMean: 4.463035656954162e-05, Weight Std: 0.022834956645965576, Weight Norm: 35.07455825805664
DEBUG:root:Layer: layers.10.ffn.linear2.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.10.norm1.weight, Weight before backpropMean: 1.0, Weight Std: 0.0, Weight Norm: 27.712812423706055
DEBUG:root:Layer: layers.10.norm1.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.10.norm2.weight, Weight before backpropMean: 1.0, Weight Std: 0.0, Weight Norm: 27.712812423706055
DEBUG:root:Layer: layers.10.norm2.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.11.attention.query.weight, Weight before backpropMean: -3.7848338251933455e-05, Weight Std: 0.03609417751431465, Weight Norm: 27.720319747924805
DEBUG:root:Layer: layers.11.attention.query.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.11.attention.key.weight, Weight before backpropMean: -3.284402919234708e-05, Weight Std: 0.0361308678984642, Weight Norm: 27.748493194580078
DEBUG:root:Layer: layers.11.attention.key.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.11.attention.value.weight, Weight before backpropMean: -4.101882950635627e-05, Weight Std: 0.036065250635147095, Weight Norm: 27.69810676574707
DEBUG:root:Layer: layers.11.attention.value.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.11.attention.out.weight, Weight before backpropMean: -4.028915645903908e-05, Weight Std: 0.036077722907066345, Weight Norm: 27.707685470581055
DEBUG:root:Layer: layers.11.attention.out.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.11.ffn.linear1.weight, Weight before backpropMean: -8.356754733540583e-06, Weight Std: 0.022817188873887062, Weight Norm: 35.04719543457031
DEBUG:root:Layer: layers.11.ffn.linear1.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.11.ffn.linear2.weight, Weight before backpropMean: -3.6337341953185387e-06, Weight Std: 0.02281472645699978, Weight Norm: 35.04340744018555
DEBUG:root:Layer: layers.11.ffn.linear2.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
DEBUG:root:Layer: layers.11.norm1.weight, Weight before backpropMean: 1.0, Weight Std: 0.0, Weight Norm: 27.712812423706055
DEBUG:root:Layer: layers.11.norm1.bias, Weight before backpropMean: 0.0, Weight Std: 0.0, Weight Norm: 0.0
